sku,barcode,name,category_main,category_sub,cost,price_retail,price_credit,unit,source,date_bought
,8851709008598,กาวร้อนโซจิกล่องเหลือง,,, 11.25 , 25.00 , 25.00 ,ขวด,อ.อัษฎางค์,22 March 2568
,9202108130035,กิตติ ใบมีดคัตเตอร์ 5 ชิ้น SKE1848-1,,, 3.00 , 5.00 , 5.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907257224,ควอนตัม 007 อิตซ์ น้ำเงิน (คละสี),,, 2.55 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858121000537,คัตเตอร์ MESA AL-11P P6,,, 27.17 , 45.00 , 50.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858121000414,คัตเตอร์ MESA ST-10 P6,,, 26.67 , 40.00 , 45.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858121000421,คัตเตอร์ MESA ST-20 P3,,, 39.33 , 75.00 , 75.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8851552643007,คัตเตอร์ตราม้า H-404 มาตรฐาน P6,,, 15.83 , 25.00 , 25.00 ,อัน,อ.อัษฎางค์,22 March 2568
,90008795,คัตเตอร์เหล็ก (เล็ก) + ใบ #777A,,, 6.67 , 15.00 , 15.00 ,อัน,อ.อัษฎางค์,22 March 2568
,90005046,ชุดเรขาคณิต 4 ชิ้น DC-202407,,, 4.17 , 15.00 , 15.00 ,ชุด,อ.อัษฎางค์,22 March 2568
,90008771,ชุดเรขาคณิต 4 ชิ้น ถูก [x 3.00],,, 2.36 , 5.00 , 5.00 ,ชุด,อ.อัษฎางค์,22 March 2568
,6971184790010,"ชุดวงเวียน 3001, 3007",,, 12.50 , 20.00 , 25.00 ,ชุด,อ.อัษฎางค์,22 March 2568
,8858784834180,ดินน้ำมัน แท่งกลม 130 กรัม 12 สี,,, 2.50 , 20.00 , 20.00 ,แพค,อ.อัษฎางค์,22 March 2568
,20104696,ดินน้ำมันถัง #8209 x 12.00,,, 3.00 , 19.00 , 20.00 ,ถัง,อ.อัษฎางค์,22 March 2568
,8851553231630,ดินสอคอมพิวเตอร์ #H-9100 2B 12p x 12.00,,, 2.23 , 45.00 , 45.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8855305001595,ดินสอต่อไส้ หัวป้ายจราจร CYLM2,,, 3.45 , 6.00 , 6.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8855305001588,ดินสอต่อไส้ หัวรูปฟุตบอล CYLM1,,, 3.45 , 6.00 , 6.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851316000015,ดินสอสีคอลลีน 12 ด้าม 12 สี #775 x 12.00,,, 40.67 , 58.00 , 65.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851316000114,ดินสอสีคอลลีน 18 ด้าม 36 สี #787 x 8.00,,, 71.25 , 108.00 , 118.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851316000022,ดินสอสีคอลลีน 24 ด้าม 24 สี #775 x 6.00,,, 81.33 , 118.00 , 127.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851316000121,ดินสอสีคอลลีน 24 ด้าม 48 สี #787,,, 95.83 , 135.00 , 140.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851316000039,ดินสอสีคอลลีน 36 ด้าม 36 สี #775,,, 122.00 , 165.00 , 170.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
